Price,Close,High,Low,Open,Volume
Ticker,SEB,SEB,SEB,SEB,SEB
Date,,,,,
2022-05-09,3856.840087890625,3936.99496785291,3783.688819023602,3857.878795867202,800
2022-05-10,3804.90673828125,3919.1988982601542,3760.155358211919,3906.8339033083744,500
2022-05-11,3756.070068359375,3830.5764078311086,3729.282466096224,3800.4553285210927,500
2022-05-12,3726.554931640625,3794.8402715666543,3723.6053881113357,3785.922288283972,600
2022-05-13,3758.375732421875,3805.5490879822228,3711.6975115100354,3764.1561696727103,1900
2022-05-16,3910.64453125,3959.144045811187,3706.411998653919,3761.9886281851786,1100
2022-05-17,3874.379150390625,3959.1443240437247,3868.084004590719,3925.0066117755373,600
2022-05-18,3763.592041015625,3927.2928884757125,3727.851002655758,3836.1632206783634,800
2022-05-19,3798.105712890625,3839.1025700295304,3691.9016310461516,3761.176740725292,600
2022-05-20,3753.69482421875,3858.641884377423,3746.3506879155525,3807.727340062764,500
2022-05-23,3782.804443359375,3860.166043013092,3763.0285351169305,3809.0337767285664,500
2022-05-24,3853.09912109375,3884.910742479455,3726.584584361573,3825.127754082017,500
2022-05-25,3890.611572265625,4011.355567454161,3761.2465789156063,3861.1654361526744,1000
2022-05-26,4059.37939453125,4078.9078517622866,3860.1750669217467,3909.654456311825,600
2022-05-27,4146.373046875,4216.489348905518,4000.567579023546,4080.5126323250497,600
2022-05-31,4097.10009765625,4245.350509626365,4060.102014402916,4191.743547293113,1300
2022-06-01,4150.697265625,4169.889352382913,4077.9185102980796,4102.6631614528005,700
2022-06-02,4132.44677734375,4252.884149733851,4056.253046403018,4172.592568140451,500
2022-06-03,4127.388671875,4152.59873923952,4041.4553656442067,4107.414612213779,400
2022-06-06,3992.529541015625,4140.324215458197,3970.328708259896,4137.097745015798,800
2022-06-07,4030.4189453125,4048.8486370144997,3900.67770475537,3989.8278072970165,600
2022-06-08,4058.10302734375,4062.992512480532,3979.929743726121,4030.4187402677703,400
2022-06-09,4077.523193359375,4077.919011167673,3981.909752895036,4059.073443870017,500
2022-06-10,4099.38671875,4204.977263174744,4018.5311584367273,4062.0720765408832,1300
2022-06-13,4045.1572265625,4155.122572826119,4018.5816114077006,4131.783336312019,700
2022-06-14,4182.05419921875,4202.3747790323405,3996.7860997954813,4099.486317906069,1100
2022-06-15,4137.314453125,4191.74300813255,4121.78477138057,4182.359857755428,700
2022-06-16,4019.80859375,4137.315733721159,3956.6403745937173,4105.217278488638,600
2022-06-17,3672.116943359375,3987.848853736536,3665.732870292257,3987.848853736536,1900
2022-06-21,3683.152099609375,3783.0612852162863,3664.930225774119,3689.8232477915053,2600
2022-06-22,3561.874267578125,3736.4429791258985,3499.4585322196185,3664.9309247571978,1700
2022-06-23,3619.073486328125,3662.2084403662866,3500.873311777177,3583.183833946656,1200
2022-06-24,3703.215576171875,3723.0905596519588,3626.5765012319494,3665.059271258823,1300
2022-06-27,3708.926025390625,3771.0846340929957,3628.723637363971,3680.8161998425257,700
2022-06-28,3781.873291015625,3799.7885145599416,3698.048371334921,3698.048371334921,600
2022-06-29,3799.254150390625,3821.5639667830446,3756.2380870089755,3799.036426455683,600
2022-06-30,3842.923583984375,3921.5323144343147,3761.1869749748603,3812.645941842913,600
2022-07-01,3814.05126953125,3924.5015787622656,3774.0541033595255,3842.9234921242078,500
2022-07-05,3864.956787109375,3889.8597206179106,3761.187516119099,3807.826357309545,700
2022-07-06,3837.469482421875,3924.491385855,3761.1866115625353,3870.0630661077666,600
2022-07-07,3859.18603515625,3901.519207342254,3785.417245760509,3843.428717266094,600
2022-07-08,3711.707763671875,3920.54272218414,3703.7795673852693,3861.472355697369,800
2022-07-11,3704.828369140625,3806.766417578239,3672.1059866390756,3761.1867248594303,700
2022-07-12,3711.717529296875,3748.7651537541597,3634.0292313384853,3711.6977142439737,400
2022-07-13,3731.43408203125,3761.1772021092165,3652.3106406727666,3678.054986318022,1000
2022-07-14,3715.875,3746.330739732339,3630.5356655612486,3677.1051531122043,700
2022-07-15,3684.2314453125,3716.656848798902,3652.3108424214183,3716.656848798902,700
2022-07-18,3783.94189453125,3806.75650970276,3683.735971568239,3707.1049248838976,800
2022-07-19,3865.1337890625,3894.7976437527423,3695.3656906468427,3792.8695101923563,800
2022-07-20,3904.597412109375,3957.165061307,3835.4213638230676,3867.5398763339385,700
2022-07-21,3825.810302734375,3959.0452725779264,3814.2890573598283,3914.603973932159,500
2022-07-22,3782.3779296875,3860.165296331352,3720.605474079372,3829.521561257836,500
2022-07-25,3800.0361328125,3858.641326791771,3732.1862500351513,3791.03889052955,400
2022-07-26,3879.01123046875,3889.354446549607,3795.839478179848,3812.7153789680824,600
2022-07-27,3926.481689453125,3940.3386956674794,3829.512368535031,3885.643102901226,300
2022-07-28,3936.359375,3942.317906457512,3891.1460151022866,3942.317906457512,300
2022-07-29,4019.164306640625,4047.2347424581003,3893.837735527652,3954.135418168966,900
2022-08-01,3999.26025390625,4081.511329597006,3913.4557593063646,4013.988154326079,800
2022-08-02,4108.20703125,4193.783914372421,4012.2076695994456,4057.1339625329497,500
2022-08-03,4004.358154296875,4194.713903387855,4001.903503859783,4129.38801437804,600
2022-08-04,4039.0498046875,4135.30650272581,4010.623176948273,4047.2650776309656,400
2022-08-05,4057.3408203125,4147.431165581207,4039.0396859817392,4056.1432178599584,500
2022-08-08,4082.84765625,4130.357386825161,4057.3509994891037,4092.7653318393236,400
2022-08-09,3964.11279296875,4130.367362047721,3963.1130994307873,4104.642591615674,600
2022-08-10,4011.08837890625,4064.121195784772,3969.6560678376572,4020.0162689127837,400
2022-08-11,4046.264892578125,4060.377179115294,3998.976353479892,4060.377179115294,400
2022-08-12,4139.13037109375,4201.947576369257,4002.2560304444023,4044.5334288511795,600
2022-08-15,4158.1728515625,4172.205833866611,4047.9285917027714,4100.98095345527,600
2022-08-16,4150.517578125,4179.2469904405525,4075.895671434447,4115.390151025446,800
2022-08-17,4184.15966796875,4184.169339218148,4109.894143847411,4156.539063252728,300
2022-08-18,4154.39990234375,4194.845068485952,4095.524719257768,4185.991522970677,600
2022-08-19,3995.025146484375,4132.91951487611,3995.015233453598,4127.591623505229,500
2022-08-22,4010.860595703125,4057.1786274063734,3966.2954779730903,3992.3512748334147,400
2022-08-23,4035.5986328125,4035.618458871359,3971.5636058535815,4017.168618634614,300
2022-08-24,4040.164794921875,4085.700181563804,3995.0152911421133,4012.356083596679,500
2022-08-25,4085.145263671875,4100.980966841935,3991.0536818094656,4029.6767819560087,300
2022-08-26,4055.405517578125,4089.1562410314295,4015.811909267719,4089.1562410314295,400
2022-08-29,3940.556396484375,4085.6998399271934,3940.5464834542836,4035.519598041937,600
2022-08-30,3881.453369140625,4000.9571275583708,3881.433543079673,3953.5793699769315,500
2022-08-31,3825.014404296875,3991.0540497574452,3819.2902332465,3918.4028949642156,1000
2022-09-01,3862.290771484375,3895.3877249272045,3816.3690145418377,3854.645406187083,500
2022-09-02,3816.7646484375,3895.3773997661574,3796.660780379966,3881.512696523891,600
2022-09-06,3766.257080078125,3887.0681384868803,3738.517763767636,3828.6383244306444,600
2022-09-07,3753.670654296875,3801.870230883323,3652.359231382482,3746.7482152079942,600
2022-09-08,3715.75,3773.179565926675,3695.260009413574,3738.4682462355954,400
2022-09-09,3732.575927734375,3802.9690793796,3715.75013082239,3733.5761766433557,800
2022-09-12,3741.321044921875,3797.928562379841,3723.168109076184,3778.1416688830423,1100
2022-09-13,3659.30126953125,3788.0350307480903,3645.4762182739623,3721.672608681957,800
2022-09-14,3624.5703125,3736.0525046626167,3600.346732419911,3674.651672142765,900
2022-09-15,3593.86962890625,3718.6816957724454,3566.1997009177394,3589.9677633509596,600
2022-09-16,3619.66796875,3655.7458395555686,3519.5449079203972,3521.832641982617,2200
2022-09-19,3638.86083984375,3669.4621241476116,3583.6297842785243,3607.22932568022,1200
2022-09-20,3579.609375,3648.3980796960195,3545.403128477674,3634.5333747243194,600
2022-09-21,3504.006591796875,3609.229785939736,3503.996678766177,3575.1127609950745,800
2022-09-22,3469.166748046875,3572.0625591831435,3454.2918823531872,3512.7712700594807,600
2022-09-23,3360.833251953125,3481.030427167513,3335.1340856336915,3471.127068910991,700
2022-09-26,3377.33251953125,3440.426778502676,3263.156659518226,3398.882237521502,600
2022-09-27,3357.22900390625,3431.5042011836204,3281.290109908614,3372.093956392611,700
2022-09-28,3391.89111328125,3431.514468956235,3307.712547664719,3362.884131220857,600
2022-09-29,3430.315185546875,3458.391059640271,3292.866444939146,3386.948343365979,1000
2022-09-30,3369.776611328125,3464.1854197072626,3342.5324582596086,3391.9008046396375,800
2022-10-03,3450.686767578125,3510.631584486721,3367.151840976722,3414.1531422624207,600
